"id";"price_usd"
1;79535.31
2;2259.93
4;672.0314
5;1.4322
7;90.9133
8;0.355015
9;2270.4
10;0.113293
11;39.0091
12;79334.33
13;10.1565
14;0.264218
15;433.7915
16;521.3
17;2477.08
18;393.7441
19;10.2104
20;0.999694
21;2476.8
22;1.0015
24;3.3685
25;2.1222
26;84.573
27;0.158586
28;57.0057
29;1.2003
30;9.6937
31;0.092885
32;0.0095881
33;6.2588e-06
34;297.0021
35;2.0913
36;0.073837
37;0.678324
38;3.6043
39;1.0005
40;1.3259
41;1.5629
42;4.0176e-06
43;2.932
44;116.0287
45;0.072513
46;96.5109
47;0.999047
48;9.222
49;4690.44
50;0.169571
51;4.0381
52;0.382838
53;4690.09
54;12.966
55;8.2845
56;0.11708
57;0.094173
58;0.036639
59;1.8622
60;77.7641
61;100.9853
62;7.2722
63;0.090173
64;1.0007
65;2461.02
66;2.0061
67;0.116289
68;1.8602
69;1.0387
70;1.0339
71;0.129748
72;0.220915
73;0.00186734
74;0.997571
75;0.0072753
76;1.9467
77;0.00862799
78;0.896633
79;0.07908
80;0.00894532
81;6.7419e-06
82;44.2123
84;0.456607
85;0.033278
86;1.3844
87;1.0013
88;1.5175
89;5.2397
90;0.209742
91;0.761246
92;2465.82
94;0.26132
95;2.3633
96;124.5555
97;0.256474
98;13.8348
99;7.83818e-05
100;0.436245
101;0.269563
102;0.042276
103;0.549028
104;0.373038
105;0.456971
106;0.390825
107;0.41305
108;0.020073
109;0.066279
110;0.200677
111;0.070828
112;0.264998
113;0.383041
114;127.2078
115;2551.03
116;16.702
117;3.42944e-05
118;1.9716
119;3.27151e-07
120;0.4502
121;0.00641766
122;0.036144
123;0.00342946
124;17.9852
125;3.00993e-07
126;0.050386
127;0.047272
128;0.028427
129;0.00308603
130;0.230695
131;1.475
132;0.145335
133;6.9138
134;0.060992
135;2248.64
136;0.220398
137;3.0598
138;1.2982
139;0.214301
140;1.7465
141;0.21209
142;1.1714
143;22.5512
144;0.503379
145;2.4918
146;0.771415
147;0.568931
148;0.077418
149;0.789489
150;0.097847
151;0.439209
152;0.183095
153;1.8471
154;0.501606
155;0.00502151
156;0.341026
157;0.046258
158;1.7704
159;0.889651
160;0.00357748
161;0.285887
162;7.9365e-06
163;0.528117
164;0.103763
165;11.4428
166;2.3297
167;0.613326
168;0.300751
169;0.090492
170;0.47224
171;0.048903
172;0.139978
174;0.013597
175;0.097385
176;0.00124293
177;0.289148
178;0.130393
179;0.046242
180;0.017723
181;1.0008
182;0.19865
183;3.6671
184;4.4296
185;0.062094
186;0.318277
187;0.011967
188;0.03578
189;0.291517
190;0.350572
191;0.151163
192;0.330794
193;0.082015
194;6.0384e-07
195;0.00191599
196;0.00017157
197;0.461382
198;2962.94
199;1.6713
200;0.332166
201;0.985961
202;6.3634
203;0.115036
204;4.6169
205;0.594588
206;0.265599
207;2.1983
208;0.00188947
209;0.00188763
210;2732.7
211;0.184968
212;0.0058923
213;5.3947
214;0.00903491
215;0.00129473
216;0.146854
217;1.4646
218;0.046896
219;0.104039
220;0.041687
221;0.011429
222;0.070788
223;0.065623
224;0.00414724
225;0.329634
226;0.011403
227;0.0027651
228;0.124572
229;0.075719
230;0.00018399
231;0.00158085
232;4.39561658125168e-10
233;0.0008704
234;0.00041839
235;0.549007
236;0.00788071
237;0.044741
238;0.803735
239;0.00872627
240;6.9394
241;1.5413
243;0.151455
244;0.104968
245;5.67471e-07
246;0.030813
247;0.00645751
248;4.0214
249;8.8687
250;0.00379615
251;0.00043952
252;0.067029
253;0.061736
254;0.211213
255;0.014148
256;1.1598
257;0.00565868
258;1.3412e-06
259;0.065819
260;0.06452
261;0.951773
262;0.064384
263;0.229648
264;0.336268
265;1.5896e-07
266;0.021585
267;0.07523
268;0.127435
269;0.152712
270;0.080469
271;0.062812
272;0.025293
273;11.5727
274;0.00598808
275;0.03763
276;0.00361706
277;0.00794061
278;0.059351
279;0.859445
280;1.1708
281;0.080319
282;0.353462
283;0.079618
284;0.058545
286;0.00430739
287;0.062122
288;0.056844
289;0.00061224
290;0.00096991
291;0.0005456
292;0.022517
293;0.03763
294;0.092009
295;0.00057452
296;0.00558385
297;0.052428
298;0.055524
299;0.00513531
300;0.051362
302;18.9077
303;0.503305
304;0.014775
305;0.0050107
306;0.203619
307;0.010241
308;0.018834
309;1.1712
310;0.410837
311;0.39903
312;1.3449
313;0.066356
314;2.6502
315;1.5369
316;0.018292
317;0.016791
318;0.02332
319;0.107551
320;2.7395
321;87.5366
322;0.025045
323;0.040511
324;0.040281
325;0.485978
326;1.9781
327;0.208477
328;0.365838
329;0.12029
330;6.2174
331;0.00447362
332;0.00055785
333;0.00014965
334;0.118488
335;0.041258
336;0.129616
337;0.00686711
338;0.207093
339;0.144565
340;0.00058401
341;0.036541
342;0.343081
343;0.152923
344;9.29618e-05
345;0.00767663
346;0.067894
347;0.0028946
348;0.064627
349;1.47756e-07
350;0.00672908
351;54.9553
352;2.7872
353;0.22567
354;0.00380247
355;0.012127
356;2.4878
357;0.018744
358;0.017532
359;0.162327
360;0.031722
361;0.174822
362;0.00868042
363;0.346072
364;0.00343927
365;0.040075
366;0.177352
367;3.7942
368;0.033101
369;0.079318
370;0.00228324
371;0.033298
372;0.06768
373;0.00110147
374;0.301055
375;0.448045
376;0.033969
377;0.014215
378;1.7436
379;0.101626
380;6.11839e-05
381;0.364006
382;0.031296
383;0.00115634
384;0.24881
385;0.135001
386;0.078055
387;0.00301555
388;0.058034
389;0.202897
390;1.43152e-05
391;0.00679653
392;0.03095
393;1.4251e-08
394;0.00404002
395;0.0059714
396;0.031157
397;0.035141
398;0.070451
399;4.8491
400;0.00058233
401;0.306218
402;0.619015
403;0.296214
404;0.028744
405;0.136858
406;0.02102
407;4.8432
408;0.02135
409;2.8257
410;0.032196
411;3.00822288508293e-10
412;0.030915
413;0.00016993
414;0.458872
415;1.4111
416;0.034354
417;1.0009
418;0.034907
419;0.219492
420;0.277091
421;0.145654
422;0.00333231
423;0.315612
424;0.00440435
425;0.00721961
426;0.00778891
427;0.214481
428;0.139545
429;0.029498
430;0.290546
431;0.00461509
432;0.013588
433;0.658757
434;0.054437
435;0.042036
436;0.01436
437;0.004711
438;0.031595
439;2.6511
440;0.034419
441;0.104172
442;0.00071879
443;0.012923
444;0.037049
445;0.129301
446;2.0777
447;0.44121
448;0.052252
449;0.00112095
450;0.025813
451;0.542917
452;0.033998
453;0.258512
454;24.5582
455;0.300293
456;3.7621
457;0.00113933
458;0.552767
459;0.00812439
460;0.140059
461;0.05992
462;0.023902
463;0.159003
464;0.011785
465;0.197955
466;0.096713
467;0.024114
468;0.020279
469;0.03394
470;0.00296465
471;0.230495
472;0.00095281
473;0.011648
474;0.021388
475;0.00314849
476;0.042411
477;2.9735e-08
478;0.022132
479;0.015911
480;0.00282301
481;3.9635e-08
482;0.00215517
483;2.5478
484;0.256832
485;0.069502
486;151.3379
487;0.101539
488;0.160777
489;0.00360004
490;0.00312061
491;0.042524
492;0.113642
493;0.042561
494;0.025273
495;0.262722
496;0.020527
497;0.020711
498;2.07678e-05
499;0.00048728
500;0.021282
501;0.046869
502;0.0017716
503;0.049689
504;0.137355
505;0.024039
506;0.011996
507;0.06189
508;0.026723
509;0.954394
510;0.00609457
511;0.293448
512;0.11217
513;0.019524
514;0.016138
515;0.019364
516;0.020245
517;0.013683
518;0.109559
519;0.019914
520;0.039441
521;0.086727
522;0.018786
523;0.033242
524;0.117511
525;0.0463
526;0.00102005
527;0.264951
528;0.061826
529;0.00097185
530;0.018265
531;0.021419
532;0.025827
533;0.011772
534;0.00872558
535;0.019512
536;0.027944
537;0.00358549
538;0.354523
539;0.079426
540;4.2746
541;0.00073778
542;0.22316
543;0.110571
544;0.00061341
545;0.015255
546;0.038724
547;0.04199
548;0.02335
549;0.00954394
550;0.016305
551;0.562103
552;0.011483
553;0.137617
554;0.084972
555;0.158134
556;0.086764
557;0.078504
558;0.015544
559;0.016825
560;0.095742
561;0.01937
562;0.015632
563;0.00804755
564;0.00728752
565;0.292412
566;0.045334
567;0.01498
568;0.0016178
569;0.074898
570;2.022e-06
571;0.017667
572;0.543209
573;0.114772
574;7.62899e-05
575;0.282394
576;0.014508
577;0.015268
578;0.00176007
579;0.00017973
580;0.01475
581;0.061095
582;0.00120605
583;0.397426
584;0.037051
585;0.00154066
586;0.055578
587;2.02805e-05
588;0.139067
589;3.2206
590;0.014401
591;0.00942776
592;0.00189621
593;0.058634
594;0.084105
595;0.163586
596;0.018254
597;0.013161
598;0.303487
599;5.2815
600;0.012601
601;1.1171
602;0.012781
603;0.130127
604;1.1688
605;0.00770443
606;0.00177119
607;0.06207
609;0.00012448
610;0.00203665
611;0.069817
612;0.01508
613;0.033006
614;0.064562
615;0.40216
616;0.525052
617;0.00564311
618;0.011865
619;0.086323
620;0.120706
621;0.01164
622;0.033503
623;0.655755
624;0.011423
625;6.29186e-05
626;0.076259
627;2.11708e-05
628;0.00090179
629;0.103999
630;1.0104
631;0.786169
632;0.037539
633;0.365966
634;0.00732929
635;0.00428211
636;0.061054
637;0.027917
638;0.135393
639;1.55196e-07
640;0.055089
641;0.00016602
642;0.00167351
643;0.012658
644;3.12948e-05
645;0.00736331
646;0.017431
647;0.017495
648;0.00533476
649;0.00151128
650;112.415
651;1.0008
652;0.103118
653;0.00261021
654;0.026622
655;0.00223395
656;0.016702
657;0.010197
658;0.016896
659;0.059148
660;0.0001097
661;0.053755
662;0.15148
663;0.01174
664;0.181805
665;0.050875
666;2.7476
667;1.3827e-05
668;0.025371
669;0.708478
670;0.052311
671;2.3972e-08
672;0.1212
673;0.035472
674;0.00192178
675;0.815987
676;1.2332
677;0.115102
678;0.00016505
679;0.451357
680;15.01
681;0.00029885
682;0.130185
683;0.045082
684;0.00133918
685;0.041396
686;0.00492078
687;2.9498
688;0.062858
689;0.936634
690;8.7574e-06
691;9.6898e-06
692;0.00869379
693;0.292547
694;0.00440689
695;0.076961
696;0.043838
697;0.00817598
698;0.00826083
699;0.0852
700;0.077932
701;0.00560399
702;0.113676
703;0.0001909
704;0.013549
705;1.0004
706;0.024152
707;0.00501224
708;0.00920567
709;0.033818
710;0.00972501
711;0.021478
712;0.00048048
713;0.461489
714;0.022607
715;0.00086825
716;0.106399
717;0.031745
718;0.027937
719;0.00096817
720;0.618047
721;0.00744876
722;0.00277286
723;0.034473
724;1.0514
725;0.239035
726;0.00140913
727;0.00054716
728;0.34156
729;1.74007e-05
730;1.6904e-08
731;9.54173206466442e-09
732;0.421756
733;0.00089331
734;0.084809
735;0.091039
736;0.00470307
737;1.73441604096982e-10
738;0.031625
739;0.037518
740;0.00728115
741;0.034156
742;0.019534
743;0.019146
744;0.01416
745;0.00490306
746;0.00665219
747;9.8214
748;0.046176
749;0.010866
750;0.017382
751;3.50168e-05
752;0.00643744
753;1.0015
754;0.00306454
755;7.0781e-06
756;4.51481534707644e-10
757;0.00755834
758;0.149056
759;0.00992228
760;0.014078
761;0.153949
762;0.012263
763;0.052738
764;0.720987
765;0.00856624
766;0.010984
767;0.00166461
768;0.6528
769;0.027731
770;1.4142e-05
771;0.00296451
772;0.055472
773;0.00058647
774;0.00065081
775;5.80049391206674e-09
776;1.01025e-07
777;0.005768
778;0.416569
779;0.00882448
780;1.4793
781;0.00434367
782;0.569391
783;0.013773
784;7.37454748676403e-09
785;0.068024
786;0.058341
787;0.00801793
788;0.00982292
789;0.00561477
790;0.018204
791;0.148895
792;0.00567299
793;1.2511
794;0.00011204
795;0.00557168
796;0.054349
797;0.018519
798;0.00407493
799;0.00352198
800;0.01066
801;5.24716e-05
802;0.173221
803;0.032286
804;0.372517
805;0.00301169
806;0.132967
807;0.00016714
808;0.017415
809;0.028954
810;0.060681
811;0.00646468
812;0.00754037
813;6.8425e-06
814;0.07348
815;0.548719
816;0.023728
817;448.5446
818;0.085957
819;0.01013
820;2445.02
821;0.013482
822;0.00480722
823;0.00628631
824;0.010156
825;0.474045
826;0.331426
827;1.911e-08
828;0.00859931
829;0.086829
830;0.0004571
831;0.00065349
832;747.8543
833;0.014792
834;0.02607
835;0.00081707
836;0.029978
837;0.00092077
838;0.0049282
839;0.015175
840;0.00351226
841;0.017257
842;0.00470477
843;151.3179
844;0.019226
845;0.084555
846;0.03667
847;0.076492
848;0.00037135
849;0.01097
850;0.020831
851;0.00400431
852;1.1674
853;2.1018
854;0.063796
855;0.89725
856;0.00296351
857;0.630233
858;1.1645
859;0.032773
860;0.372715
861;0.00018367
862;0.011369
863;0.00547463
864;0.214774
865;0.00452228
866;0.095693
867;0.00732562
868;0.600234
869;0.00892715
870;0.00774031
871;0.414722
872;0.00078424
873;0.00348831
874;1.1781
875;0.485837
876;0.0039033
877;0.00055096
878;0.00018616
879;0.0042136
880;0.101186
881;0.00151353
882;0.084942
883;0.11799
884;0.00328616
885;0.00599809
886;0.038359
887;0.00340923
888;0.00058832
889;0.0021746
890;7.55465313768094e-09
891;0.314304
892;0.156232
893;0.00329237
894;0.00187198
895;2.73216e-05
896;5.6291e-08
897;0.031246
898;0.00584601
899;0.00127653
900;0.020207
901;0.00101031
902;0.39962
903;0.0012428
904;1.3211e-08
905;0.00047626
906;0.274293
907;0.011252
908;5.12207e-07
909;0.00016824
910;0.402764
911;0.0006537
912;0.15351
913;0.00095362
914;0.00660285
915;0.00303649
916;0.00612211
917;0.00062573
918;0.00092979
919;0.00218031
920;0.030222
921;0.060181
922;0.0001181
923;0.00157474
924;1.2403e-06
925;0.028154
926;0.064091
927;0.024739
928;0.988002
929;0.542358
930;0.00275122
931;0.0059606
932;0.00246208
933;0.00280786
934;301.3308
935;1.88639e-05
936;0.00394685
937;0.0007285
938;0.024729
939;125.3853
940;0.00029702
941;0.623762
942;5.20239640303776e-11
943;0.021979
944;32.1271
945;0.00448379
946;0.00101886
947;0.00335684
948;0.0066226
949;1.1739
950;0.00635963
951;0.00281515
952;0.0004948
953;6.1652e-06
954;717.7818
955;0.00310062
956;0.00752551
957;0.00326676
958;0.03504
959;0.0177
960;0.00245908
961;9.79e-06
962;0.00981849
963;403.5484
964;0.0079157
965;0.00024103
966;0.00322084
967;0.00912972
968;0.00866081
969;0.00258218
970;0.00108
971;0.00240053
972;0.166865
973;3.2447
974;0.00013001
975;0.00223089
976;0.00585064
977;0.00625404
978;0.017552
979;0.028134
980;0.143421
981;0.00055122
982;0.00514562
983;0.00279765
984;0.383871
985;0.00093964
986;0.00429218
987;0.0002978
988;0.00862222
989;0.00110304
990;0.00270288
991;1.24395e-07
992;0.00039133
993;0.0028163
994;0.00099726
995;0.029552
996;0.216133
997;2.44507e-05
998;0.00247647
999;0.00209209
1000;0.00149711
1001;0.0007967
1002;0.00125206
1003;0.00201359
1004;4.50380604341476e-11
1005;0.209835
1006;0.00511021
1007;0.00221187
1008;0.00012042
1009;6.98374e-07
1010;0.00592041
1011;0.013551
1012;0.037093
1013;2.22086e-07
1014;0.0067252
1015;0.020057
1016;0.00281212
1017;0.00193423
1018;0.03045
1019;0.00138827
1020;0.054748
1021;0.00041524
1022;0.018275
1023;0.00066867
1024;0.027239
1025;0.00152466
1026;0.043028
1027;230.5281
1028;0.121214
1029;0.00348556
1030;0.039694
1031;0.014872
1032;0.00699267
1033;9.75355e-05
1034;0.00032527
1035;0.019126
1036;0.00279154
1037;0.134957
1038;0.016187
1039;0.00555569
1040;0.235881
1041;0.00168578
1042;0.00329016
1043;0.00201414
1044;7.7827e-05
1045;34.8595
1046;0.013742
1047;0.00785745
1048;0.00044318
1049;1.78403364731172e-09
1050;2.6062e-05
1051;0.024142
1052;0.038533
1053;0.00157992
1054;0.00015784
1055;0.00358386
1056;0.00157058
1057;0.00156632
1058;0.00169043
1059;0.00935017
1060;0.00652886
1061;0.0015383
1062;0.00715716
1063;3.61915958237708e-09
1064;0.025447
1065;0.239872
1066;0.011227
1067;0.03194
1068;3.5372e-06
1069;0.00589132
1070;9.13183e-05
1071;0.00090098
1072;0.00057849
1073;3.86401e-05
1074;0.00376318
1075;0.0041961
1076;0.011413
1077;0.00020245
1078;1.17899633758724e-17
1079;0.00143033
1080;0.00536321
1081;0.019655
1082;0.00022199
1083;0.013932
1084;0.0004567
1085;0.00600107
1086;0.00206274
1087;0.00206794
1088;0.00106637
1089;0.00133613
1090;9.96345e-05
1091;0.046314
1092;0.00181006
1093;0.00818857
1094;0.02142
1095;0.108811
1096;0.00010776
1097;0.025769
1098;2.74318580937122e-09
1099;0.635078
1100;0.014639
1101;33.3002
1102;1.3647
1103;0.064862
1104;0.380321
1105;0.030679
1106;0.00607825
1107;0.00030035
1108;0.00328177
1109;0.0059287
1110;0.00127007
1111;2.4971e-06
1112;0.012554
1113;0.019396
1114;3.75065e-05
1115;0.017437
1116;0.010223
1117;0.00401615
1118;201.8965
1119;0.700867
1120;0.012004
1121;0.00118
1122;0.080976
1123;0.0075704
1124;0.00235187
1125;0.061352
1126;0.00142821
1127;0.092979
1128;9.00761e-05
1129;0.00151128
1130;0.0017241
1131;0.056676
1132;1.0989e-08
1133;0.00803485
1134;0.011957
1135;178.6706
1136;0.00053785
1137;0.00186237
1138;0.00103759
1139;3.32420919835506e-09
1140;1.49077e-05
1141;0.00194458
1142;0.0012304
1143;6.9759e-05
1144;6.5155e-06
1145;0.108792
1146;0.00058852
1147;0.00080068
1148;2.36499859568646e-09
1149;0.00674289
1150;0.0011622
1151;0.0008375
1152;0.00097053
1153;0.00095801
1154;0.00606582
1155;0.01596
1156;0.00987635
1157;0.00485011
1158;2.20085988654868e-09
1159;5.12368e-07
1160;0.00234291
1161;0.00360705
1162;0.00056848
1163;0.012991
1164;0.00161091
1165;0.00168142
1166;0.87554
1167;0.00025154
1168;0.04777
1169;0.00024068
1170;0.00014201
1171;0.00016324
1172;0.00204509
1173;0.00189578
1174;0.00179465
1175;0.00048651
1176;0.00315892
1177;0.00343811
1178;0.000707
1179;0.00211735
1180;0.00087224
1181;0.00353198
1182;0.012238
1183;0.0010878
1184;0.00050683
1185;0.00098078
1186;0.00081365
1187;0.00025809
1188;0.00080068
1189;0.00040234
1190;0.00091968
1191;0.016947
1193;0.00079757
1194;0.0075764
1195;0.00121001
1196;0.193641
1197;0.010018
1198;7.46731e-07
1199;0.00784663
1200;9.3331e-06
1201;0.101367
1202;1.7415e-06
1203;1.49226e-05
1204;0.00075932
1205;4.15963e-05
1206;2.8024e-08
1207;0.00079943
1208;0.00077116
1209;0.014612
1210;0.00900761
1211;1.91763507854704e-09
1212;78892.4
1213;0.00019484
1214;0.00321607
1215;0.0010346
1216;0.00046082
1217;1.62137017562931e-12
1218;0.018005
1219;0.00010109
1220;0.00142068
1221;0.00050983
1222;0.00022016
1223;6.8348e-06
1224;0.016453
1225;0.00068078
1226;0.019643
1227;0.00067467
1228;0.00063043
1229;0.00027934
1230;0.00072902
1231;0.00882577
1232;0.00012441
1233;0.00368262
1234;0.00292283
1235;0.00297204
1236;0.02609
1237;0.00097984
1238;0.00062343
1239;0.073562
1240;0.00045038
1241;0.101756
1242;0.00092398
1243;0.00358141
1244;0.056197
1245;0.019952
1246;0.00057218
1247;0.00107466
1248;0.00016847
1249;4.90414e-05
1250;0.00516998
1251;0.00055857
1252;0.00867009
1253;0.00117089
1254;7.9726e-06
1255;0.026145
1256;1.32129e-05
1257;0.00035683
1258;0.00778758
1259;0.010709
1260;0.00397695
1261;0.026421
1262;0.00010297
1263;0.00602509
1264;0.00051753
1265;0.042734
1266;0.48471
1267;1.2052
1268;0.0007144
1269;0.00024821
1270;0.00590499
1271;0.023331
1272;0.00048908
1273;0.00109023
1274;0.00047774
1275;0.00048041
1276;0.00296441
1277;4.61646e-07
1278;76.482
1279;0.00635537
1280;9.00861e-05
1281;0.045566
1282;7.37523260753853e-10
1283;0.00044848
1284;0.00682674
1285;5.76563e-05
1286;0.00134429
1287;8.09184e-07
1288;0.120001
1289;0.045382
1290;4.36711e-05
1291;8.01835e-05
1292;0.00190535
1293;0.002299
1294;0.00010351
1295;0.152408
1296;0.00223169
1297;0.00101621
1298;0.00074727
1299;0.00543461
1300;0.00382423
1301;0.00198968
1302;0.00124605
1303;0.00023082
1304;0.084571
1305;0.00350936
1306;0.00193343
1307;0.00085255
1308;1.4752e-06
1309;0.00387227
1310;0.00012437
1311;0.00254715
1312;0.020597
1313;0.00300254
1314;8.78742601359591e-10
1315;4.60489e-05
1316;0.00206877
1317;0.00274301
1318;1.51327883058736e-10
1319;0.044297
1320;0.00045348
1321;0.00389129
1322;0.00014151
1323;0.00042741
1324;4.46377e-05
1325;0.00200269
1326;0.0025992
1327;0.0008579
1328;0.00036408
1329;0.00034199
1330;0.00049369
1331;2.38967e-05
1332;0.121403
1333;0.00108091
1334;0.0005936
1335;0.0004765
1336;0.0008486
1337;8.29701e-05
1338;0.0036646
1339;3.85326e-05
1340;0.00028836
1341;0.00129109
1342;0.00627964
1343;0.039182
1344;0.029278
1345;0.00056137
1346;0.00038401
1347;0.0001144
1348;0.00030626
1349;2.9322e-08
1350;0.00180397
1351;0.00028924
1352;0.010339
1353;0.00102086
1354;0.00012745
1355;0.00104293
1356;0.00030786
1357;0.00029415
1358;270.3648
1359;0.00048055
1360;0.00028124
1361;0.00141083
1362;0.00057238
1363;0.00023109
1364;0.00265224
1365;0.00018956
1366;0.00315269
1367;0.00179282
1368;0.00062566
1369;0.00025151
1370;0.00072291
1371;2.8424e-05
1372;6.41542e-05
1373;0.00050563
1374;0.0001201
1375;1.13001e-05
1376;0.056998
1377;0.00416341
1378;0.0006665
1379;2.30194531107866e-13
1380;0.00119701
1381;0.00531743
1382;0.00052264
1383;0.00214241
1384;0.00079533
1385;3.97936e-05
1386;0.015366
1387;0.00029785
1388;3.91366e-07
1389;0.00308984
1390;8.66193e-05
1391;0.00223189
1392;0.073032
1393;0.00042501
1394;0.0010055
1395;0.00137787
1396;3.9443e-06
1397;0.00172145
1398;0.00246302
1399;0.00028024
1400;1.4012
1401;0.00075414
1402;0.00062653
1403;2.16383e-07
1404;1.91089e-05
1405;0.00035824
1406;0.00132212
1407;0.00045015
1408;2.14081e-05
1409;0.0033128
1410;0.00060051
1411;0.340288
1412;0.00058239
1413;0.013384
1414;0.00016714
1415;0.00132645
1416;0.00140719
1417;0.041034
1418;0.00185075
1419;0.011185
1420;0.034811
1421;0.00085741
1422;0.00100085
1423;3.75333e-07
1424;0.00074955
1425;0.00047986
1426;1.66642e-05
1427;0.00139818
1428;0.00022926
1429;0.00033718
1430;8.66732e-05
1431;0.00014282
1432;0.033528
1433;0.00079616
1434;0.00020657
1435;0.00024441
1436;0.00027193
1437;0.00017799
1438;5.03025e-05
1439;1.64039e-05
1440;0.00049982
1441;0.00077956
1442;0.0001384
1443;0.00020328
1444;3.00253736227651e-10
1445;0.00064479
1446;0.036881
1447;0.00011911
1448;0.00017437
1449;2.00169e-07
1450;0.00023954
1451;0.00859712
1452;0.0010094
1453;0.00055227
1454;0.061035
1455;0.00182855
1456;0.00350296
1457;0.034719
1459;0.00185156
1460;0.0005975
1461;0.024212
1462;0.00042716
1463;1.00085e-05
1464;0.00030435
1465;0.00072073
1466;9.39594e-05
1467;0.00119762
1468;0.00021135
1469;0.017622
1470;0.00019466
1471;2.0107e-05
1472;9.0076e-06
1473;0.00117444
1474;8.4221e-06
1475;0.00049802
1476;0.00567967
1477;0.00086343
1478;1.5723
1479;0.00440372
1480;0.00846615
1481;0.00055477
1482;7.88666e-05
1483;0.0001549
